Language pair,"F1-score (LaBSE, average)","F1-score (LASER, average)","Gromov-Hausdorff dist. (LaBSE, average)","Gromov-Hausdorff dist. (LASER, average)","Singular value gap (LaBSE, average)","Singular value gap (LASER, average)","ECOND-HM (LaBSE, average)","ECOND-HM (LASER, average)","Average margin score (LaBSE, average)","Average margin score (LASER, average)"
Zarma-Slovene,0.2941,0.00115,0.6456,0.6277,558.7905,115.7176,42.7171,29.3806,0.7870,0.5856
Zarma-Greek,0.2456,0.0021,0.6292,0.7702,275.02165,104.6484,48.30485,29.2729,0.7838,0.5996
Zarma-Chinantec,0.0873,0,0.530,0.9510,116.8474,2462.9912,53.2885,49.49645,0.7209,0.5231
Zarma-Icelandic,0.2933,0.00115,0.6585,0.6781,978.0719,95.60835,38.38515,30.8269,0.8015,0.6066
Zarma-Polish,0.2809,0.0032,0.6515,0.3412,718.5691,44.8867,41.0942,41.5434,0.7671,0.5154
Zarma-Romani,0.2645,0,0.6660,0.7972,9.00895,358.96245,58.3391,36.6642,0.82525,0.5676
Zarma-Maori,0.2244,0,0.59915,0.68435,434.2427,9.1894,45.2675,40.0159,0.7389,0.5489
Zarma-Cabecar,0.28295,0.00095,0.45695,0.7714,20.4231,3.8469,55.2056,38.9883,0.8604,0.5758
Zarma-Mam,0.1580,0,0.4088,0.72595,30.8227,813.64015,49.7572,41.4597,0.7622,0.554
Zarma-Latvian,0.2582,0.0030,0.674,0.6972,923.1244,102.1261,39.2171,29.8130,0.74195,0.5976
Zarma-Chinese,0.1968,0,0.5241,0.6628,79.0046,80.43555,55.6558,31.4491,0.70095,0.6005
Zarma-Japanese-tok,0.29345,0.0021,0.6219,0.3312,347.4291,49.2391,47.9247,35.6829,0.82055,0.5728
Zarma-Albanian,0.3315,0.00635,0.6685,0.3626,691.70745,9.6221,41.7581,45.7518,0.7951,0.4910
Zarma-Basque,0.2493,0.00115,0.66655,0.8663,199.4480,84.5173,48.6301,32.5204,0.8054,0.5809
Zarma-Esperanto,0.3248,0.0021,0.6470,0.6953,695.5813,107.7669,41.4377,29.7224,0.7982,0.5913
Zarma-Gujarati,0.2267,0,0.6354,1.15895,903.3363,35009.54735,41.6206,55.5736,0.7291,0.5267
Zarma-Serbian,0.2888,0.0021,0.632,0.4940,586.16715,93.02895,42.9295,33.6868,0.7801,0.5582
Zarma-Vietnamese,0.26105,0.00095,0.6750,0.6755,731.0909,87.7106,40.4121,31.1583,0.7805,0.59965
Zarma-German,0.3082,0.00225,0.6189,0.3902,641.8836,21.5372,42.2249,44.0508,0.7779,0.4845
Zarma-Telugu,0.1657,0,0.6865,0.8477,453.4365,45.99465,44.2065,33.3112,0.6971,0.61895
Zarma-Creole,0.2467,0,0.6260,0.85965,460.4843,11.7660,46.30515,39.6969,0.7359,0.5134
Zarma-Quichua,0.2074,0.00095,0.6819,0.7105,1.6518,2382.3296,54.9924,42.6572,0.7669,0.54535
Zarma-Achuar,0.1421,0.00115,2.1991,2.4328,15.9085,7076.4231,50.7119,42.7436,0.7137,0.5312
Zarma-Malagasy,0.3212,0.0021,0.5949,0.6692,452.6267,89.7054,46.6296,31.8742,0.8094,0.5874
Zarma-Camsa,0.1693,0,9.3702,9.76765,61517.1496,177968.63145,55.5422,53.50515,0.6665,0.4218
Zarma-Swedish,0.3317,0.0044,0.6757,0.3287,819.9179,46.6603,40.1383,41.8965,0.7917,0.5296
Zarma-Aukan,0.1666,0,0.7936,0.7771,9.4169,1816.9947,52.20365,39.7274,0.77375,0.5345
Zarma-Japanese,0.3067,0.0021,0.6353,0.4544,479.0018,75.4832,45.5910,32.7833,0.8062,0.5765
Zarma-Spanish,0.3104,0.0034,0.6185,0.4489,587.0513,91.3799,43.9254,35.8435,0.7742,0.54945
Zarma-Shuar,0.0823,0,1.3733,1.4387,9.1529,833.9128,46.67265,42.6504,0.7016,0.5340
Zarma-Dutch,0.2159,0.0030,3.0250,2.8786,885.8883,7037.060,39.0846,32.6317,0.7006,0.5458
Zarma-Slovak,0.2746,0.00115,0.6623,0.7034,800.3192,109.2006,40.3672,29.5584,0.75755,0.5890
Zarma-Amuzgo,0.1960,0.00115,0.2803,0.48895,74.2615,46.3244,52.3540,52.2798,0.7831,0.4881
Zarma-Swahili,0.32205,0.0044,0.6565,0.3197,830.0172,71.30505,40.2305,47.0803,0.7929,0.4068
Zarma-Chinese-tok,0.1968,0,0.5242,0.6627,79.0046,80.4433,55.6558,31.4491,0.70095,0.6005
Zarma-Danish,0.3170,0.00115,0.67215,0.52525,640.4440,97.4281,42.2023,30.4573,0.7879,0.5814
Zarma-Amharic,0.2495,0.00095,2.2672,3.0075,429.2191,7981.49655,44.2123,47.8525,0.7653,0.4165
Zarma-Somali,0.3269,0.00115,0.66455,0.6414,461.1693,3075.2243,44.7422,40.0755,0.8330,0.2687
Zarma-Croatian,0.3317,0.00115,0.6674,0.3833,784.7632,95.7326,39.5304,33.6847,0.7892,0.5590
Zarma-Italian,0.3246,0.00225,0.6564,0.5396,600.6903,116.7742,42.8593,29.93145,0.7758,0.5783
Zarma-Akawaio,0.0846,0,0.32785,0.8562,76.8641,3.67755,48.9172,39.9458,0.78415,0.5350
Zarma-Czech,0.2819,0.00225,0.6443,0.36765,481.07745,42.0171,44.6145,41.7153,0.7788,0.5083
Zarma-Tachelhit,0.05555,0,0.5146,0.7164,5.8145,3.5838,56.9546,41.2401,0.7331,0.55255
Zarma-Romanian,0.3090,0.00115,0.6671,0.5329,987.3300,101.5817,38.51275,31.2016,0.7807,0.5728
Zarma-Lithuanian,0.3067,0.0030,0.6956,0.65655,907.83285,107.6613,39.1542,31.1672,0.7947,0.6038
Zarma-Wolof,0.3583,0.0021,0.4227,0.3695,6.3363,314.2366,57.2391,42.0032,0.8841,0.5117
Zarma-Zulu,0.3623,0,0.6546,0.3248,545.09275,5.9521,44.32445,45.84225,0.8284,0.4878
Zarma-Thai-tok,0.2094,0,0.6446,0.6678,518.2028,77.8624,43.1682,31.9825,0.7228,0.6231
Zarma-Malayalam,0.1596,0.00115,1.01515,1.4132,501.9140,6136.3573,43.5734,46.4830,0.6814,0.4744
Zarma-Hebrew,0.1885,0,0.6037,0.7681,283.9954,91.1000,46.7375,29.7766,0.7129,0.5956
Zarma-Kabyle,0.1736,0,0.3580,0.8342,14.56875,29.4416,46.6235,34.8087,0.7853,0.6071
Zarma-French,0.3125,0.0041,0.6470,0.4426,629.6473,90.6630,42.2755,36.3345,0.7818,0.5464
Zarma-Afrikaans,0.3129,0.0021,0.6496,0.6735,726.8704,93.5259,41.2021,30.3434,0.7853,0.5937
Korean-Coptic,0,0,5.3114,4.96825,332379.7597,1407100.8861,46.2167,34.0020,-0.0286,0.4875
Korean-Hungarian,0.9722,0.225,0.3478,0.4872,3.5116,190.1999,38.74415,31.1071,1.2619,0.6537
Korean-Shona,0.9316,0.00115,0.5558,0.47695,4.2334,62.1684,40.1527,42.6505,1.1907,0.45985
Korean-Cebuano,0.9667,0.00635,0.56845,0.4758,66.4430,45.9712,36.4918,39.8113,1.2312,0.5239
Korean-Ewe,0.1954,0,0.9590,0.7775,396.4642,48.1366,43.8817,45.9451,0.6974,0.464
Korean-Norwegian,0.9728,0.2656,0.4123,0.3435,114.5779,99.1731,35.1519,42.0283,1.2549,0.6821
Korean-Vietnamese-tok,0.9768,0.1976,0.6792,0.4821,66.8585,151.2710,35.7101,32.345,1.2454,0.6476
Korean-Wolaytta,0.0972,0,2.0339,2.2437,513.5831,4359.5977,39.8579,51.2019,0.65055,0.43155
Korean-Kannada,0.9781,0.00115,0.5525,1.9820,45.7458,174813.0761,37.3070,53.9724,1.27025,0.4851
Korean-Dinka,0.1361,0,0.6429,0.4224,543.586,336.2720,38.9409,47.1610,0.6404,0.4366
Korean-Indonesian,0.9539,0.2148,1.2874,1.28015,114.9837,1357.75645,36.2138,43.5599,1.2139,0.6481
Korean-English,0.98745,0.2076,0.4979,0.2823,0.8314,94.2758,41.3014,47.5731,1.3021,0.6447
Korean-Myanmar,0.9582,0,0.5901,0.6468,3.4258,133.2040,39.6794,48.75245,1.2457,0.5221
Korean-Jakalteko,0.1089,0,1.6102,0.8696,581.4902,5493.0104,41.5926,49.4123,0.5715,0.4535
Korean-Slovene,0.9825,0.2527,0.4383,0.4675,33.8962,200.4437,37.0422,30.2703,1.2730,0.6660
Korean-Greek,0.932,0.1106,0.4982,0.6075,2.6703,186.6974,41.1577,30.1251,1.1816,0.6140
Korean-Chinantec,0.0739,0,1.0807,0.9112,830.2669,2367.2716,44.7087,51.8978,0.61175,0.4661
Korean-Icelandic,0.9716,0.2365,0.5377,0.4964,186.2072,172.8258,33.7352,31.7876,1.2419,0.6595
Korean-Polish,0.9769,0.2163,0.4843,0.4295,83.30505,100.0988,35.8045,43.1940,1.2457,0.6686
Korean-Romani,0.2365,0.0034,0.9258,0.7718,276.5137,393.4100,48.1840,38.0009,0.7416,0.4864
Korean-Maori,0.9702,0,0.4023,0.4949,9.5695,45.2603,38.93935,41.5838,1.2327,0.4651
Korean-Cabecar,0.2176,0.0051,1.0183,0.4493,495.5460,32.02905,46.0566,40.5200,0.7074,0.5055
Korean-Mam,0.1059,0,0.79215,0.5584,555.1662,801.0574,42.1866,43.1236,0.6230,0.4856
Korean-Latvian,0.9560,0.2675,0.6310,0.5143,164.3473,182.4247,34.3858,30.74115,1.2290,0.6656
Korean-Chinese,0.9798,0.2020,0.2950,0.4441,111.17875,152.23925,46.3568,32.4777,1.29135,0.6495
Korean-Japanese-tok,0.9830,0.2243,0.3503,0.3997,0.6045,104.1854,40.8843,37.1118,1.2823,0.6687
Korean-Albanian,0.9820,0.2554,0.5800,0.3760,73.0376,27.2052,36.30985,47.7598,1.26575,0.6881
Korean-Basque,0.8324,0.0218,0.6685,0.6870,17.2738,158.4864,41.3854,33.5766,1.1023,0.5389
Korean-Esperanto,0.98605,0.2502,0.5084,0.4711,74.7617,189.4769,36.0636,30.6466,1.2774,0.65885
Korean-Gujarati,0.9365,0,0.7911,1.1702,156.2985,34018.0762,36.2234,58.3524,1.1906,0.4685
Korean-Serbian,0.9788,0.24785,0.5376,0.3983,41.6691,168.3445,37.1972,34.7593,1.2627,0.66345
Korean-Vietnamese,0.9781,0.2191,0.6621,0.5119,88.9431,161.95055,35.2914,32.1480,1.2519,0.6521
Korean-German,0.9769,0.2293,0.5753,0.3252,57.4037,54.80995,36.6700,45.9145,1.2528,0.6680
Korean-Telugu,0.9248,0.0320,0.5801,0.7325,11.6602,105.0989,38.1559,34.4216,1.2170,0.5780
Korean-Creole,0.9575,0,0.4740,0.6678,12.9556,51.8560,39.6986,41.2367,1.2138,0.4771
Korean-Quichua,0.1585,0.0032,1.2337,0.7986,332.6428,2348.4349,45.8103,44.4368,0.64875,0.4643
Korean-Achuar,0.12355,0.0021,2.7437,2.4933,482.89315,6912.1140,42.8500,44.5081,0.6116,0.4696
Korean-Malagasy,0.9656,0.1758,0.55295,0.62805,12.30235,165.1257,39.9251,32.9122,1.2401,0.6433
Korean-Camsa,0.1397,0.00115,9.3702,9.76765,65091.4028,174825.9511,46.3259,56.6079,0.6413,0.3643
Korean-Swedish,0.9732,0.2301,0.5360,0.3487,119.8598,96.97615,35.0859,43.6063,1.2439,0.6678
Korean-Aukan,0.1129,0,1.2469,0.9007,441.3432,1790.8305,43.9156,41.1367,0.6654,0.4864
Korean-Japanese,0.9871,0.3217,0.3616,0.39235,15.9779,142.6976,39.1690,33.95835,1.2918,0.69065
Korean-Spanish,0.9871,0.2881,0.5265,0.4194,41.3846,163.6275,37.9378,37.0841,1.2830,0.6882
Korean-Shuar,0.0524,0,1.6798,1.5179,438.8419,839.2276,39.9254,44.4022,0.5593,0.4674
Korean-Dutch,0.8556,0.1390,3.3240,2.7947,145.6670,6921.7587,34.28295,33.6659,1.1268,0.6152
Korean-Slovak,0.9724,0.2834,0.3677,0.4690,112.2637,189.33975,35.2538,30.4788,1.2497,0.6669
Korean-Amuzgo,0.153,0,0.8059,0.70195,709.5654,32.8296,44.0648,54.9154,0.6316,0.4407
Korean-Swahili,0.9670,0.1438,0.5111,0.3133,124.2755,20.7495,35.1444,49.2624,1.24175,0.59155
Korean-Chinese-tok,0.9793,0.2020,0.2951,0.4441,111.1787,152.2601,46.3568,32.4777,1.29135,0.6495
Korean-Danish,0.9814,0.26985,0.4230,0.4411,56.9337,173.9301,36.64195,31.4100,1.256,0.6749
Korean-Amharic,0.9479,0.0539,2.8190,2.9565,8.3923,7708.3130,38.1583,50.0818,1.2490,0.5297
Korean-Somali,0.9559,0.0635,0.5693,0.6342,13.82175,2712.7679,38.5412,41.6313,1.2306,0.47435
Korean-Croatian,0.9790,0.2731,0.4535,0.3878,105.6727,169.8259,34.6174,34.8116,1.2642,0.6746
Korean-Italian,0.9815,0.2759,0.4514,0.45475,44.2739,197.2058,37.1401,30.84965,1.2731,0.6728
Korean-Akawaio,0.0609,0.00115,0.8333,0.7725,717.61125,23.4239,41.5760,41.4971,0.5937,0.4636
Korean-Czech,0.9704,0.2042,0.4991,0.2951,16.4216,97.6120,38.4434,43.3003,1.2582,0.6520
Korean-Tachelhit,0.0258,0,0.65655,0.5974,401.2468,23.6266,47.2038,42.8760,0.5629,0.4763
Korean-Romanian,0.9761,0.2393,0.57235,0.4861,191.3742,179.9373,33.8270,32.14525,1.2453,0.6642
Korean-Lithuanian,0.9751,0.2661,0.4193,0.4806,156.0628,189.6523,34.3330,32.1491,1.2538,0.6691
Korean-Wolof,0.27095,0,0.5648,0.4647,244.6951,313.7214,47.4240,43.8420,0.8175,0.4708
Korean-Zulu,0.9454,0.00095,0.5881,0.5153,31.9254,14.1125,38.23505,47.9518,1.2106,0.4505
Korean-Thai-tok,0.9351,0.1370,0.5503,0.4792,23.90555,148.5902,37.3761,33.0160,1.1989,0.6229
Korean-Malayalam,0.8236,0.1063,1.3167,1.3294,22.0030,5982.2350,37.6951,48.6140,1.1414,0.5952
Korean-Hebrew,0.96095,0.1653,0.6625,0.5741,1.9334,167.6265,40.0245,30.6865,1.2133,0.6381
Korean-Kabyle,0.1012,0.0102,0.6016,0.6595,469.8811,83.2630,39.8785,36.0040,0.6368,0.5596
Korean-French,0.9844,0.2845,0.3217,0.3961,53.3456,164.0568,36.6971,37.52495,1.2846,0.6891
Korean-Afrikaans,0.9846,0.1903,0.3761,0.4733,86.0894,169.4839,35.88925,31.29935,1.2722,0.6464
Coptic-Hungarian,0,0,5.3114,4.96825,334173.6450,1428566.7522,43.5557,24.4772,-0.2555,0.7120
Coptic-Shona,0,0,5.3114,4.96825,334295.8877,1415965.3469,45.3419,31.0721,-0.3489,0.5877
Coptic-Cebuano,0,0,5.3114,4.96825,340495.4477,1412940.8737,40.7331,29.5456,-0.2125,0.7044
Coptic-Ewe,0,0,5.3114,4.96825,314415.5597,1413912.6747,50.1882,32.7762,0.3857,0.6747
Coptic-Norwegian,0,0,5.3114,4.96825,343095.4986,1423142.7990,39.06805,30.6918,-0.35455,0.5990
Coptic-Vietnamese-tok,0,0,5.3114,4.96825,340487.0616,1425802.9919,39.7614,25.2353,0.0130,0.6691
Coptic-Wolaytta,0,0,4.8782,4.4991,311487.2013,1400323.7608,44.9810,35.3577,0.4172,0.5409
Coptic-Kannada,0,0,5.3114,4.6159,339115.3202,1248845.7566,41.74445,36.7148,-0.2162,0.8630
