Language pair,"F1-score (LaBSE, average)","F1-score (LASER, average)","Gromov-Hausdorff dist. (LaBSE, average)","Gromov-Hausdorff dist. (LASER, average)","Singular value gap (LaBSE, average)","Singular value gap (LASER, average)","ECOND-HM (LaBSE, average)","ECOND-HM (LASER, average)","Average margin score (LaBSE, average)","Average margin score (LASER, average)"
Telugu-Shuar,0.03195,0,1.79355,1.7830,584.2476,891.6294,37.3446,32.3637,0.5320,0.7082
Telugu-Dutch,0.8236,0.0269,3.3292,2.96875,75.5904,7180.61725,32.4033,26.2635,1.1017,0.7269
Telugu-Slovak,0.93455,0.0759,0.3493,0.5622,52.0536,17.2339,33.2564,24.2952,1.2225,0.8266
Telugu-Amuzgo,0.1373,0,0.8399,0.9878,890.9141,161.6476,40.9934,37.6119,0.6127,0.6489
Telugu-Swahili,0.9306,0.0252,0.3939,0.7525,60.2827,215.5982,33.1538,34.8840,1.2062,0.4954
Telugu-Chinese-tok,0.9326,0.0517,0.4963,0.6046,193.6321,5.7499,42.9497,25.5483,1.2268,0.8157
Telugu-Danish,0.9456,0.0786,0.3204,0.6504,17.5665,13.44465,34.4861,24.8819,1.2285,0.7802
Telugu-Amharic,0.92315,0.00635,2.8431,3.0547,0.6565,8414.3622,35.8377,35.2863,1.2307,0.4963
Telugu-Somali,0.9190,0,0.2383,0.8890,0.3576,3841.34595,36.1639,30.8695,1.19995,0.2654
Telugu-Croatian,0.9418,0.0602,0.2989,0.7077,47.5918,12.2534,32.6931,26.9627,1.2322,0.75825
Telugu-Italian,0.94305,0.0757,0.3291,0.67305,10.8667,20.0873,34.9311,24.5288,1.24375,0.7915
Telugu-Akawaio,0.0607,0.00185,0.87375,0.4164,900.2669,54.57355,38.8030,30.7974,0.5936,0.7167
Telugu-Czech,0.9308,0.0453,0.2942,0.6914,0.6568,5.98905,36.0747,31.7335,1.22635,0.6821
Telugu-Tachelhit,0.0308,0,0.5582,0.4435,543.5139,55.8240,43.6348,31.5446,0.5584,0.7293
Telugu-Romanian,0.9322,0.0655,0.2656,0.6369,109.2058,15.34015,31.9789,25.32815,1.2088,0.7790
Telugu-Lithuanian,0.9352,0.0763,0.3001,0.57955,82.8280,18.1316,32.4441,25.3412,1.2246,0.8341
Telugu-Wolof,0.2311,0.00115,0.6922,0.9025,355.7560,368.4379,43.8431,32.0917,0.79945,0.6390
Telugu-Zulu,0.9118,0,0.2748,0.9552,5.2140,61.9106,35.8984,34.2302,1.1836,0.6172
Telugu-Thai-tok,0.8825,0.0330,0.2552,0.4369,2.4673,6.96705,35.1446,25.8766,1.1553,0.8240
Telugu-Malayalam,0.8118,0.0360,1.3409,1.6894,2.0146,6368.1393,35.4440,34.5585,1.1518,0.6391
Telugu-Hebrew,0.9162,0.0533,0.2259,0.4123,20.9945,10.7971,37.47975,24.4256,1.1848,0.8181
Telugu-Kabyle,0.0678,0.0044,0.6530,0.4210,621.8300,2.5770,37.2945,27.6705,0.6155,0.7929
Telugu-French,0.9491,0.0624,0.4774,0.68375,15.4187,11.0794,34.5350,28.5091,1.2520,0.74515
Telugu-Afrikaans,0.9473,0.0469,0.4675,0.5799,34.8672,11.7072,33.8219,24.8133,1.2419,0.8095
Creole-Quichua,0.2264,0,1.3079,0.9276,467.4307,2446.2857,44.3584,38.3601,0.66405,0.5942
Creole-Achuar,0.1924,0,2.7889,2.5882,643.7746,7250.1207,41.59895,38.4144,0.6418,0.5874
Creole-Malagasy,0.9690,0,0.3561,0.31655,0.29245,41.6002,38.8501,29.4493,1.2227,0.6586
Creole-Camsa,0.2370,0,9.3702,9.76765,65832.1207,179933.7350,44.9123,47.0557,0.7071,0.4647
Creole-Swedish,0.98455,0,0.4222,0.7261,54.44865,19.3896,34.2623,37.73995,1.2361,0.5694
Creole-Aukan,0.1774,0,1.3211,1.0813,597.0667,1879.4267,42.6056,35.8702,0.7190,0.6042
Creole-Japanese,0.9830,0.00115,0.22365,0.6615,0.3138,32.8002,38.1381,30.2633,1.2440,0.6460
Creole-Spanish,0.9878,0,0.3998,0.6273,8.19595,44.9027,36.9723,32.7548,1.2700,0.6208
Creole-Shuar,0.0713,0,1.7539,1.6951,592.2282,865.8555,38.8337,38.33575,0.5436,0.5896
Creole-Dutch,0.90135,0.0021,3.3692,2.8896,72.2705,7158.2211,33.4994,30.0586,1.1644,0.6129
Creole-Slovak,0.9756,0,0.4080,0.4357,49.3295,57.1527,34.418,27.4788,1.2323,0.6716
Creole-Amuzgo,0.2300,0,0.8779,0.9982,900.5519,86.3805,42.7693,45.9271,0.661,0.53525
Creole-Swahili,0.9859,0,0.2348,0.6674,57.3469,132.1327,34.3106,41.9028,1.2556,0.4048
Creole-Chinese-tok,0.9761,0,0.3857,0.4989,198.8932,35.0702,44.9126,29.0969,1.2504,0.6878
Creole-Danish,0.9830,0.00115,0.3400,0.5668,15.9845,49.3186,35.7381,28.2395,1.2389,0.6409
Creole-Amharic,0.9373,0,2.8932,3.0514,0.8084,8237.8733,37.1860,42.4959,1.20665,0.4314
Creole-Somali,0.9579,0,0.4307,0.7851,0.2413,3425.2037,37.5427,36.2520,1.2128,0.2266
Creole-Croatian,0.9822,0,0.3925,0.6332,44.9983,47.9011,33.8133,30.9662,1.24245,0.6180
Creole-Italian,0.9842,0,0.3453,0.5791,9.6593,62.6701,36.2142,27.7861,1.2626,0.6473
Creole-Akawaio,0.0777,0,0.9013,0.3852,909.9199,14.6209,40.4042,36.1499,0.6146,0.5903
Creole-Czech,0.97315,0.00115,0.4022,0.6931,0.3826,17.0633,37.4480,37.5083,1.2372,0.5633
Creole-Tachelhit,0.0416,0,0.5902,0.3352,551.4069,15.2687,45.6824,37.1927,0.5779,0.6259
Creole-Romanian,0.9855,0,0.2632,0.5565,105.2841,52.5042,33.0539,28.8405,1.2408,0.6439
Creole-Lithuanian,0.9802,0,0.33945,0.4452,79.4331,56.9646,33.5448,28.8387,1.24105,0.6765
Creole-Wolof,0.4013,0,0.6268,0.9304,362.0079,340.9538,45.9007,37.8997,0.8715,0.5644
Creole-Zulu,0.9459,0,0.4355,0.9588,4.3681,21.5944,37.2546,40.9466,1.1942,0.5203
Creole-Thai-tok,0.9475,0,0.4029,0.3383,1.92935,34.9320,36.4414,29.5345,1.1818,0.6982
Creole-Malayalam,0.81345,0,1.3910,1.5883,1.6735,6291.5600,36.7552,41.4324,1.1111,0.5347
Creole-Hebrew,0.9553,0,0.3418,0.2764,22.70885,44.0118,38.9565,27.6534,1.1908,0.6763
Creole-Kabyle,0.1374,0.00115,0.6392,0.3188,630.3469,5.4983,38.7840,31.9072,0.65795,0.6907
Creole-French,0.9906,0.00095,0.3753,0.6647,13.9623,44.8188,35.7906,33.0948,1.2838,0.6091
Creole-Afrikaans,0.9871,0.00115,0.3295,0.4943,32.6377,45.8792,35.0238,28.1477,1.2566,0.6716
Quichua-Achuar,0.1882,0,1.5172,1.7224,15.4003,4466.7650,48.44915,41.1775,0.7604,0.6102
Quichua-Malagasy,0.2575,0.0073,1.25435,1.1179,459.8702,2523.7010,44.6735,31.0469,0.7034,0.6889
Quichua-Camsa,0.2034,0,9.3702,9.76765,61374.5123,176319.6426,52.7262,51.2801,0.6500,0.5093
Quichua-Swedish,0.2208,0.01005,1.3577,1.0084,828.6226,2428.06945,38.6519,40.4031,0.6415,0.5786
Quichua-Aukan,0.13105,0,0.5799,0.8645,11.3555,316.0732,49.8040,38.2776,0.7008,0.6065
Quichua-Japanese,0.2266,0.0062,1.2904,1.0669,486.2318,2492.6484,43.7076,31.9599,0.6802,0.6631
Quichua-Spanish,0.2628,0.0090,1.2886,1.12145,594.18405,2509.1166,42.1667,34.7424,0.6723,0.6245
Quichua-Shuar,0.06025,0,1.1983,1.1936,8.7127,1357.2268,44.7519,41.0872,0.7168,0.6129
Quichua-Dutch,0.16495,0.01005,2.58025,2.3084,895.0642,4417.8935,37.6649,31.7240,0.5735,0.6264
Quichua-Slovak,0.2124,0.0071,1.2500,1.1876,808.91425,2541.8606,38.8753,28.8668,0.6361,0.6905
Quichua-Amuzgo,0.2142,0,0.6472,0.8239,73.5826,2427.6531,49.8816,49.9335,0.7722,0.5893
Quichua-Swahili,0.2382,0.0028,1.3328,0.7690,838.3413,2375.9582,38.7560,45.2114,0.6689,0.3976
Quichua-Chinese-tok,0.1911,0,1.2036,1.1052,83.6064,2516.2370,52.9089,30.6566,0.6317,0.6967
Quichua-Danish,0.2200,0.0092,1.3208,1.1791,648.68325,2523.2971,40.5806,29.7057,0.6321,0.6548
Quichua-Amharic,0.1979,0,1.58525,2.2971,436.2756,5302.3013,42.4202,45.9030,0.6610,0.4206
Quichua-Somali,0.1951,0,1.2808,0.7688,467.9545,5184.1985,42.9258,38.7026,0.6979,0.18535
Quichua-Croatian,0.2334,0.0081,1.2781,1.0560,793.2997,2511.9291,38.0927,32.73655,0.6572,0.6288
Quichua-Italian,0.2515,0.0082,1.3384,1.1773,608.6033,2547.2981,41.1825,29.20425,0.6459,0.6575
Quichua-Akawaio,0.0655,0,0.5485,0.8347,76.2931,2433.8361,46.7897,38.5861,0.7159,0.6712
Quichua-Czech,0.2359,0.0062,1.2766,1.0069,488.4520,2457.7085,42.81275,40.1449,0.67975,0.5626
Quichua-Tachelhit,0.0367,0,0.7902,0.8502,6.3111,2433.2781,54.1448,39.7771,0.6489,0.6317
Quichua-Romanian,0.2267,0.0094,1.3192,1.17005,996.0542,2527.4946,37.1578,30.3703,0.6687,0.6645
Quichua-Lithuanian,0.2249,0.0078,1.378,1.16675,916.0972,2546.5735,37.7357,30.3686,0.6606,0.7011
Quichua-Wolof,0.20575,0.00095,0.6846,0.7804,7.5950,1848.0845,54.3734,40.5888,0.750,0.5585
Quichua-Zulu,0.2386,0,1.2829,0.7203,551.79055,2361.5069,42.5346,44.1002,0.6932,0.5275
Quichua-Thai-tok,0.1285,0,1.29835,1.1080,526.0557,2520.9252,41.4606,31.1411,0.6037,0.7346
Quichua-Malayalam,0.1268,0.00115,0.7183,1.0992,507.6888,3474.9434,41.8062,44.6642,0.58565,0.5108
Quichua-Hebrew,0.1499,0.0044,1.2284,1.1432,289.0453,2531.8131,44.7413,29.05775,0.6099,0.709
Quichua-Kabyle,0.1046,0,0.6784,0.8399,13.7396,2464.7314,44.7183,33.7900,0.72115,0.69175
Quichua-French,0.26955,0.0060,1.2801,1.1316,637.4093,2519.2045,40.6484,35.1317,0.6871,0.6149
Quichua-Afrikaans,0.25565,0.0083,1.2581,1.1799,735.0216,2525.4413,39.6490,29.6048,0.6662,0.6857
Achuar-Malagasy,0.1678,0.00095,2.7458,2.6822,634.6018,7437.4872,41.8588,31.0701,0.6480,0.6558
Achuar-Camsa,0.21105,0,9.3702,9.76765,60681.1725,169947.6345,48.9073,51.31765,0.6887,0.4809
Achuar-Swedish,0.1920,0.0021,2.8124,2.6715,1058.5932,7227.3952,36.5544,40.46535,0.6438,0.5569
Achuar-Aukan,0.1443,0.00095,1.5040,1.65565,2.0778,4993.1240,46.2900,38.3652,0.7636,0.6050
Achuar-Japanese,0.1752,0.0032,2.7606,2.6498,665.7643,7368.2040,41.0213,31.9672,0.6797,0.6392
Achuar-Spanish,0.2086,0.0032,2.7655,2.7116,791.8406,7410.0172,39.6685,34.7897,0.6360,0.6020
Achuar-Shuar,0.2178,0.00095,1.2309,1.4142,1.9073,6114.1403,41.8862,41.1566,0.8532,0.6362
Achuar-Dutch,0.1512,0.0021,1.4803,0.8490,1132.99685,102.2013,35.6786,31.7614,0.6053,0.6031
Achuar-Slovak,0.1577,0.0021,2.7239,2.7188,1036.2804,7472.8668,36.7436,28.8800,0.6000,0.6555
Achuar-Amuzgo,0.2269,0,1.9472,2.2409,22.7969,7032.9566,46.4169,50.0393,0.7988,0.5616
Achuar-Swahili,0.2027,0.00095,2.7836,2.4913,1069.7600,6843.8281,36.6296,45.2857,0.6723,0.4058
Achuar-Chinese-tok,0.1328,0.00115,2.7128,2.7120,157.4966,7424.8271,48.9895,30.67495,0.5768,0.6635
Achuar-Danish,0.1768,0.0021,2.7790,2.7378,853.7704,7437.3725,38.2574,29.72545,0.6199,0.6271
Achuar-Amharic,0.1389,0,0.8869,0.5904,606.6012,456.7228,39.9029,45.9858,0.6045,0.4235
Achuar-Somali,0.1417,0.00095,2.7621,1.8847,644.4605,8691.4730,40.3328,38.76125,0.6306,0.2330
Achuar-Croatian,0.18385,0.0021,2.79525,2.72305,1018.7246,7416.0937,36.0493,32.7705,0.6449,0.6030
Achuar-Italian,0.1869,0.0021,2.7975,2.75205,807.9202,7475.5405,38.79705,29.2238,0.6202,0.62835
Achuar-Akawaio,0.0776,0.00095,1.9237,2.4925,23.9928,7173.67645,43.68995,38.6430,0.7571,0.61105
Achuar-Czech,0.1721,0.0030,2.7360,2.6629,668.2781,7303.4904,40.2286,40.2335,0.6313,0.5484
Achuar-Tachelhit,0.0304,0.00095,2.2349,2.54375,5.6296,7175.5538,49.9793,39.8422,0.6553,0.6206
Achuar-Romanian,0.1922,0.0021,2.7661,2.7673,1246.9137,7447.9810,35.2003,30.4048,0.6490,0.6291
Achuar-Lithuanian,0.16665,0.0021,2.8297,2.7369,1157.5444,7483.0641,35.73645,30.3932,0.6479,0.6658
Achuar-Wolof,0.1628,0,2.2017,2.4663,40.6583,6502.8439,50.2056,40.6239,0.726,0.5599
Achuar-Zulu,0.1759,0,2.7593,2.2612,742.7355,7001.7720,39.9937,44.1612,0.6675,0.5291
Achuar-Thai-tok,0.1138,0,2.7566,2.7225,711.8775,7416.2352,39.0503,31.16725,0.6380,0.6898
Achuar-Malayalam,0.09935,0.0032,1.7636,1.5866,691.9083,776.2598,39.3819,44.73565,0.5678,0.5161
Achuar-Hebrew,0.11495,0.00095,2.7333,2.7080,431.0083,7451.81805,41.9484,29.0769,0.605,0.6651
Achuar-Kabyle,0.0813,0,2.1859,2.51125,1.6201,7309.5290,41.8434,33.82835,0.6724,0.6780
Achuar-French,0.1865,0.00095,2.7559,2.73855,841.2243,7427.4377,38.3176,35.2018,0.6341,0.5931
Achuar-Afrikaans,0.1763,0.0032,2.7275,2.7323,952.5553,7436.6278,37.43405,29.6221,0.6252,0.65365
Malagasy-Camsa,0.2296,0.0032,9.3702,9.76765,65869.6810,183025.9631,45.17725,36.6128,0.7117,0.50125
Malagasy-Swedish,0.9871,0.3118,0.2073,0.5972,56.0152,10.72965,34.4222,30.6356,1.2607,0.7802
Malagasy-Aukan,0.1899,0,1.2676,1.1876,588.1964,1967.1037,42.8756,29.3026,0.7281,0.6458
Malagasy-Japanese,0.9858,0.3499,0.2983,0.4759,0.5687,1.5858,38.3424,25.5809,1.2626,0.8841
Malagasy-Spanish,0.9921,0.4922,0.2030,0.5302,9.0786,0.9982,37.1622,27.2599,1.2975,0.8755
Malagasy-Shuar,0.06525,0,1.7571,1.7671,583.0048,934.8930,39.0628,31.0159,0.5625,0.6639
Malagasy-Dutch,0.8792,0.2172,3.3260,2.9836,74.2461,7218.9549,33.6495,25.3701,1.1402,0.81745
Malagasy-Slovak,0.9816,0.5415,0.2581,0.29605,50.8956,2.2041,34.5831,23.5491,1.2718,0.9600
Malagasy-Amuzgo,0.2348,0.00095,0.8244,0.8402,888.9669,242.0833,43.0221,35.8066,0.7019,0.6180
Malagasy-Swahili,0.9832,0.1757,0.3124,0.5809,59.0168,298.5628,34.4772,33.3344,1.2557,0.5514
Malagasy-Chinese-tok,0.9766,0.26705,0.4384,0.3547,196.4962,0.4244,45.2020,24.7211,1.2589,0.8931
Malagasy-Danish,0.9916,0.4881,0.2031,0.4732,16.7324,1.5340,35.9176,24.0935,1.27765,0.9051
Malagasy-Amharic,0.9556,0.0250,2.8396,3.0547,0.5930,8577.6903,37.3745,33.6964,1.2472,0.5167
Malagasy-Somali,0.9810,0,0.2232,0.9556,0.2081,4184.2045,37.7406,29.6427,1.2643,0.2673
Malagasy-Croatian,0.9876,0.4766,0.2606,0.5467,46.6313,1.1113,33.9708,26.0291,1.2765,0.8789
Malagasy-Italian,0.9868,0.5024,0.16125,0.4148,10.5903,3.1742,36.3965,23.7618,1.286,0.91805
Malagasy-Akawaio,0.0974,0.00115,0.8600,0.53415,898.3201,104.2614,40.6436,29.5777,0.6547,0.6789
Malagasy-Czech,0.9794,0.3444,0.2257,0.55765,0.5918,12.8256,37.6465,30.4118,1.2736,0.7833
Malagasy-Tachelhit,0.0437,0,0.5366,0.3130,543.8307,105.8063,46.0019,30.26195,0.5964,0.6765
Malagasy-Romanian,0.9899,0.4417,0.2394,0.3841,107.41365,2.01235,33.2085,24.4956,1.2595,0.9005
Malagasy-Lithuanian,0.9893,0.5385,0.2730,0.3618,81.5576,3.2715,33.69735,24.5196,1.2693,0.9650
Malagasy-Wolof,0.4018,0,0.6697,0.73625,355.1978,412.2797,46.2136,30.7976,0.8934,0.6003
Malagasy-Zulu,0.9769,0.0028,0.22015,0.8142,4.9031,113.2979,37.4475,32.7455,1.2471,0.5938
Malagasy-Thai-tok,0.9460,0.1557,0.3424,0.2346,2.3382,1.5441,36.6236,25.02045,1.2004,0.89745
Malagasy-Malayalam,0.8310,0.0790,1.3374,1.6665,2.3611,6454.24745,36.9313,33.0379,1.1396,0.6558
Malagasy-Hebrew,0.977,0.3181,0.2767,0.2831,21.8840,1.1270,39.16305,23.66525,1.22945,0.9137
Malagasy-Kabyle,0.1508,0.0415,0.5870,0.3451,622.0251,18.0906,39.0167,26.6861,0.7158,0.8053
Malagasy-French,0.9912,0.4786,0.41245,0.4899,14.9277,1.0722,35.97055,27.43225,1.29695,0.8667
Malagasy-Afrikaans,0.9918,0.3824,0.4234,0.3233,33.7538,1.2099,35.19435,24.0320,1.2908,0.91935
Camsa-Swedish,0.2221,0.00545,9.3702,9.76765,67597.75945,180768.93785,39.11005,50.1576,0.7264,0.4329
Camsa-Aukan,0.1617,0,9.3702,9.76765,60959.4281,176211.3744,50.3113,46.6112,0.6849,0.4596
Camsa-Japanese,0.2318,0.00095,9.3702,9.76765,65967.1581,182230.4352,44.2268,38.1039,0.7180,0.4839
Camsa-Spanish,0.2649,0.0044,9.3702,9.76765,66514.8508,182702.2972,42.67175,41.6836,0.7202,0.4720
Camsa-Shuar,0.0667,0,9.3702,9.76765,61078.1611,178175.2482,45.1218,51.1644,0.6007,0.4874
Camsa-Dutch,0.1783,0.0021,9.0942,9.76765,67732.4402,173764.1176,38.1270,37.42345,0.6136,0.4612
Camsa-Slovak,0.2030,0.0034,9.3702,9.76765,67477.4797,183231.7765,39.3024,33.6883,0.7091,0.5016
Camsa-Amuzgo,0.2406,0,9.3702,9.76765,59969.9114,175681.1341,50.5953,65.6934,0.7249,0.4498
Camsa-Swahili,0.2600,0.00115,9.3702,9.76765,67581.3232,172208.2784,39.1552,57.8694,0.7376,0.3185
Camsa-Chinese-tok,0.1664,0,9.3702,9.76765,62891.97795,182749.2083,53.5920,36.1185,0.5675,0.5028
Camsa-Danish,0.1948,0.0044,9.3702,9.76765,66839.76195,182908.9026,41.0297,34.7732,0.6862,0.4801
Camsa-Amharic,0.18565,0,9.3702,9.76765,65629.3211,162041.5601,42.9678,58.9369,0.5986,0.3218
Camsa-Somali,0.1828,0,9.3702,9.76765,65827.3412,148670.6265,43.4279,47.5373,0.6761,0.1745
Camsa-Croatian,0.2230,0.0032,9.3702,9.76765,67384.3682,182773.6829,38.5207,38.9039,0.7116,0.4670
Camsa-Italian,0.2276,0.0053,9.3702,9.76765,66589.3827,183302.1026,41.6645,34.0828,0.6748,0.4916
Camsa-Akawaio,0.0824,0,9.3702,9.76765,59973.4059,178133.7892,47.2775,47.3759,0.6777,0.4966
Camsa-Czech,0.2087,0.0032,9.3702,9.76765,66027.2058,181121.3109,43.29685,49.4831,0.7015,0.4248
Camsa-Tachelhit,0.0197,0,9.3702,9.76765,61020.34195,178145.9698,54.6390,49.1402,0.5561,0.4912
Camsa-Romanian,0.2329,0.0053,9.3702,9.76765,68242.5846,183092.1891,37.5267,35.5484,0.72805,0.4822
Camsa-Lithuanian,0.2356,0.0032,9.3702,9.76765,67865.1547,183264.8945,38.17955,35.6452,0.73005,0.50985
Camsa-Wolof,0.2125,0,9.3702,9.76765,61937.7413,177251.9954,54.9760,50.7895,0.6808,0.4430
Camsa-Zulu,0.2291,0,9.3702,9.76765,66230.06945,177247.6417,43.0487,56.1765,0.7111,0.4194
Camsa-Thai-tok,0.1640,0,9.3702,9.76765,66175.96795,182402.7329,41.9727,36.7140,0.7272,0.51165
Camsa-Malayalam,0.1218,0,9.3702,9.76765,65864.2234,169931.1815,42.4194,56.9853,0.5417,0.3898
Camsa-Hebrew,0.1295,0,9.3702,9.76765,64791.8691,182916.9165,45.3516,33.88595,0.6402,0.5101
Camsa-Kabyle,0.0953,0,9.3702,9.76765,60783.9437,181111.1340,45.0457,40.3820,0.5954,0.5117
Camsa-French,0.2222,0.0044,9.3702,9.76765,66714.1930,182762.7004,41.0990,42.0499,0.7083,0.4590
Camsa-Afrikaans,0.2212,0.0034,9.3702,9.76765,67188.66575,182860.59305,40.09535,34.6619,0.7159,0.4963
Swedish-Aukan,0.1900,0,1.37085,1.0751,1000.1741,1875.1283,37.3314,37.6675,0.73445,0.5724
Swedish-Japanese,0.9928,0.3852,0.3850,0.31195,48.4902,6.1774,33.8642,31.5173,1.2687,0.7771
Swedish-Spanish,0.9953,0.5599,0.1986,0.2464,20.7573,9.1867,32.9430,34.2338,1.3079,0.8260
Swedish-Shuar,0.0671,0,1.8277,1.5838,990.8579,874.2182,34.3993,40.3785,0.5419,0.5614
Swedish-Dutch,0.9094,0.30855,3.3927,2.9729,1.5419,7055.1315,30.1602,31.2988,1.1655,0.7477
Swedish-Slovak,0.9871,0.5637,0.3065,0.5220,0.1884,16.5614,30.8993,28.5083,1.2822,0.8348
Swedish-Amuzgo,0.2138,0,0.9276,0.5874,1377.3398,171.4980,37.4693,48.8913,0.6526,0.5363
Swedish-Swahili,0.9918,0.1953,0.44385,0.2702,0.1510,203.3886,30.8110,44.3520,1.2619,0.5949
Swedish-Chinese-tok,0.9787,0.2802,0.4785,0.5154,461.0410,8.3437,39.099,30.2540,1.2674,0.7657
Swedish-Danish,0.9968,0.6388,0.2801,0.3159,11.7021,12.3737,31.9583,29.3284,1.3143,0.85965
Swedish-Amharic,0.9583,0.0319,2.9387,3.0547,65.6389,8282.8576,33.115,45.0191,1.2507,0.5281
Swedish-Somali,0.9800,0.0081,0.23665,0.8750,53.0382,3820.3069,33.3939,38.0724,1.2562,0.3778
Swedish-Croatian,0.9920,0.5236,0.1990,0.2637,0.5738,10.7794,30.41205,32.2823,1.2897,0.8120
Swedish-Italian,0.9935,0.5626,0.2695,0.2987,18.7757,18.7273,32.3397,28.8397,1.30485,0.8354
Swedish-Akawaio,0.10575,0.00115,0.9511,0.80895,1389.48675,62.1660,35.6327,37.9593,0.6588,0.5688
Swedish-Czech,0.9819,0.4161,0.2153,0.2576,47.7611,2.8400,33.3181,39.4729,1.2848,0.7645
Swedish-Tachelhit,0.0604,0.00095,0.6399,0.6462,944.0110,63.4142,39.6664,39.1125,0.6110,0.5782
Swedish-Romanian,0.9951,0.506,0.3168,0.3063,8.4936,13.8535,29.7938,29.9805,1.26905,0.8133
Swedish-Lithuanian,0.9951,0.5472,0.2738,0.5116,2.6579,17.3100,30.1960,29.9758,1.280,0.8327
Swedish-Wolof,0.4163,0.00095,0.7264,0.3244,686.4940,354.8294,39.8383,39.8869,0.8919,0.5326
Swedish-Zulu,0.9831,0.00095,0.1874,0.4790,28.9186,63.8836,33.1670,43.2793,1.2471,0.5268
Swedish-Thai-tok,0.9588,0.2518,0.3961,0.5524,36.9542,7.4187,32.5221,30.7283,1.20145,0.76625
Swedish-Malayalam,0.8403,0.1214,1.4407,1.5570,41.54305,6260.1304,32.7760,43.8250,1.1545,0.6304
Swedish-Hebrew,0.9784,0.3166,0.3103,0.6553,146.8244,11.4127,34.5115,28.6968,1.2338,0.7729
Swedish-Kabyle,0.1568,0.0268,0.6889,0.7358,1044.7127,7.4165,34.3565,33.3069,0.6656,0.6734
Swedish-French,0.9953,0.5345,0.4286,0.4155,13.3891,9.3316,32.0003,34.6165,1.30755,0.8139
Swedish-Afrikaans,0.9950,0.4610,0.4433,0.52175,2.8983,11.6868,31.3868,29.2292,1.3073,0.8077
Aukan-Japanese,0.198,0.00115,1.30365,1.1335,618.0767,1938.8991,41.99895,29.9964,0.7574,0.641
Aukan-Spanish,0.2046,0,1.3019,1.1881,740.77945,1953.8559,40.5831,32.6983,0.7189,0.6093
Aukan-Shuar,0.0567,0,0.9761,1.0517,1.8571,812.2053,42.8993,38.2936,0.6805,0.6102
Aukan-Dutch,0.1625,0.00115,2.5670,2.2417,1072.6575,4954.4223,36.4198,29.9930,0.69035,0.6071
Aukan-Slovak,0.1729,0,1.2730,1.2542,978.5004,1984.8331,37.5270,27.3020,0.7044,0.6557
Aukan-Amuzgo,0.1663,0,0.6742,0.8509,33.5477,1858.9419,47.6738,45.9160,0.7951,0.5644
Aukan-Swahili,0.2203,0,1.346,0.8356,1011.5195,1813.3961,37.4071,41.8058,0.7514,0.4174
Aukan-Chinese-tok,0.1360,0.00115,1.2169,1.1718,132.0814,1959.8006,50.3866,28.9246,0.6670,0.6716
Aukan-Danish,0.1987,0,1.3341,1.2458,800.3835,1965.8115,39.1066,28.0931,0.7294,0.6374
Aukan-Amharic,0.1290,0,1.5720,2.2304,561.1888,5820.2015,40.8302,42.4353,0.6640,0.4379
Aukan-Somali,0.1522,0,1.294,0.6290,598.1584,4561.9175,41.2777,36.1912,0.7012,0.2641
Aukan-Croatian,0.2067,0,1.2913,1.1227,961.1711,1957.9151,36.8040,30.8602,0.7246,0.6125
Aukan-Italian,0.1920,0,1.3516,1.2440,755.6123,1992.05635,39.6715,27.6460,0.7137,0.6364
Aukan-Akawaio,0.0806,0.0021,0.5948,0.9958,34.9207,1859.8762,44.7962,36.0805,0.7715,0.6236
Aukan-Czech,0.1755,0,1.2899,1.0736,620.3940,1893.3207,41.1680,37.6059,0.7178,0.5587
Aukan-Tachelhit,0.0244,0.00095,0.8611,0.9939,2.43115,1860.4376,51.4265,37.15095,0.6434,0.6388
Aukan-Romanian,0.1887,0,1.3324,1.2367,1184.7552,1969.15045,35.9178,28.7797,0.7303,0.6370
Aukan-Lithuanian,0.2024,0.00115,1.3908,1.2334,1097.4897,1986.6841,36.4791,28.7127,0.7324,0.66825
Aukan-Wolof,0.1835,0,0.8024,0.8448,30.4941,1298.8321,51.6696,37.6536,0.7982,0.5760
Aukan-Zulu,0.20035,0,1.2962,0.8314,693.74965,1806.0619,40.9235,40.7908,0.7359,0.5345
Aukan-Thai-tok,0.1362,0.00095,1.3116,1.1746,662.4302,1962.5669,39.9375,29.4055,0.7124,0.7013
Aukan-Malayalam,0.1011,0,1.1208,1.2859,644.94815,4008.7276,40.2889,41.3292,0.6039,0.5364
Aukan-Hebrew,0.0955,0,1.2416,1.2099,392.6696,1971.9004,42.9743,27.5125,0.6547,0.6634
Aukan-Kabyle,0.0816,0.00115,0.77935,0.9750,2.32335,1900.3016,42.8530,31.811,0.6918,0.6840
Aukan-French,0.1922,0,1.29335,1.1983,788.4430,1962.4949,39.1695,33.1766,0.7121,0.6025
Aukan-Afrikaans,0.2091,0,1.2714,1.2465,897.1434,1967.9287,38.2476,27.9859,0.7192,0.6607
Japanese-Spanish,0.9959,0.5063,0.35895,0.2465,6.0759,1.7596,36.5104,27.9371,1.3020,0.8615
Japanese-Shuar,0.0746,0,1.7448,1.6332,613.1210,913.9816,38.3307,31.9057,0.6041,0.6516
Japanese-Dutch,0.9055,0.2932,3.3408,2.9512,65.4515,7163.17685,33.1178,25.9567,1.1639,0.8090
Japanese-Slovak,0.9867,0.5377,0.2584,0.4598,43.7122,4.5252,34.0176,24.1204,1.2679,0.9217
