Language pair,Combined sentences (LaBSE),Combined in-family sentences (LaBSE),Combined in-genus sentences (LaBSE),Combined sentences (LASER),Combined in-family sentences (LASER),Combined in-genus sentences (LASER),Same Family?,Same Genus?,"Character-level Overlap (multiset Jaccard coefficient, Book of Matthew)","Token-level Overlap (multiset Jaccard coefficient, Book of John)",Same Word Order?,Same Polysynthesis Status?,Geographic Distance (lang2vec),Inventory Distance (lang2vec),Syntactic Distance (lang2vec),Phonological Distance (lang2vec)
Jakalteko-Esperanto,74600000,74600000,74600000,397000,414000,397000,0,0,0.4934,0.1559,0,0,0.1353,0.2301,0.4221,0.2372
Jakalteko-Gujarati,89920000,11616265100,824900000,0,0,0,0,0,0.0516,0.1241,0,0,0.2769,0.2155,0.5628,0.3675
Jakalteko-Serbian,68300000,11616265100,3338920000,4000000,377177649,49200000,0,0,0.3918,0.1477,0,0,0.1731,0.2421,0.4794,0.4
Jakalteko-Vietnamese,221000000,250798000,250798000,4000000,4000625,4000625,0,0,0.3238,0.144,0,0,0.2828,0.2993,0.361,0.4523
Jakalteko-German,701000000,11616265100,3916959000,8700000,377177649,259221917,0,0,0.4382,0.1513,0,0,0.1522,0.298,0.5425,0.3239
Jakalteko-Telugu,106310000,334050000,106310000,33000,448000,33000,0,0,0.0341,0.1182,0,0,0.2914,0.2999,0.6944,0.3675
Jakalteko-Creole,70091000,70091000,70091000,0,0,0,0,0,0.4925,0.147,0,0,0.0081,0.1497,0.3698,0.3675
Jakalteko-Quichua,0,0,0,0,0,0,0,0,0.5137,0.1765,0,1,0.0118,0.2753,0.657,0.3292
Jakalteko-Achuar,0,0,0,0,0,0,0,0,0.5064,0.1888,0,0,0.0138,0.2566,0.6338,0.2254
Jakalteko-Malagasy,8427000,517929400,517929400,355000,7592560,7592560,0,0,0.5227,0.1429,0,0,0.2812,0.2235,0.3889,0.4279
Jakalteko-Camsa,0,0,0,0,0,0,0,0,0.567,0.1906,0,1,0.0107,0.1727,0.5068,0.3292
Jakalteko-Swedish,246000000,11616265100,3916959000,7800000,377177649,259221917,0,0,0.4224,0.147,0,0,0.1478,0.3273,0.4863,0.4279
Jakalteko-Aukan,0,0,0,0,0,0,0,0,0.4985,0.1711,0,0,0.0353,0.146,0.3426,0.4
Jakalteko-Japanese,1410000000,1410000000,1410000000,3200000,3200000,3200000,0,0,0,0.1043,0,0,0.2199,0.1947,0.7183,0.4
Jakalteko-Spanish,436000000,11616265100,2513780000,4800000,377177649,36284000,0,0,0.4146,0.1477,0,0,0.1333,0.3233,0.3753,0.4
Jakalteko-Shuar,0,0,0,0,0,0,0,0,0.4905,0.1568,0,1,0.0137,0.322,0.5674,0.4836
Jakalteko-Dutch,451000000,11616265100,3916959000,8400000,377177649,259221917,0,0,0.4407,0.1397,0,0,0.1371,0.2522,0.5315,0.4279
Jakalteko-Slovak,156500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.4001,0.1563,0,0,0.1628,0.2421,0.4534,0.4
Jakalteko-Amuzgo,0,0,0,0,0,0,0,0,0.6003,0.1762,1,0,0.0011,0.2421,0.1567,0.2829
Jakalteko-Swahili,87840000,145299300,145299300,173000,173000,173000,0,0,0.5254,0.1548,0,0,0.2602,0.1997,0.5196,0.5233
Jakalteko-Chinese-tok,1270000000,1313269000,1270000000,8300000,8308000,8306000,0,0,0.0534,0.1043,0,0,0.2344,0.3164,0.5,0.4738
Jakalteko-Danish,177100000,11616265100,3916959000,7900000,377177649,259221917,0,0,0.3435,0.1475,0,0,0.1416,0.2681,0.5404,0.4279
Jakalteko-Amharic,29492000,495945000,475664000,88000,12677000,12388000,0,0,0.0279,0.1057,0,0,0.2483,0.1947,0.6025,0.3
Jakalteko-Somali,11825000,495945000,11825000,85000,12677000,85000,0,0,0.5412,0.1644,0,0,0.2659,0.2835,0.6311,0.2697
Jakalteko-Croatian,128900000,11616265100,3338920000,4000000,377177649,49200000,0,0,0.3979,0.1472,0,0,0.1633,0.2527,0.473,0.4
Jakalteko-Italian,279000000,11616265100,2513780000,8300000,377177649,36284000,0,0,0.4358,0.1455,0,0,0.1579,0.2207,0.3939,0.4
Jakalteko-Akawaio,0,0,0,0,0,0,0,0,0.4372,0.157,0,1,0.0248,0.2604,0.5938,0.5219
Jakalteko-Czech,263000000,11616265100,3338920000,5500000,377177649,49200000,0,0,0.3795,0.159,0,0,0.1554,0.2629,0.5278,0.4
Jakalteko-Tachelhit,0,0,0,0,0,0,0,0,0.3745,0.1745,1,0,0.1247,0.3506,0.4102,0.4
Jakalteko-Romanian,147700000,11616265100,2513780000,4900000,377177649,36284000,0,0,0.4334,0.1534,0,0,0.1743,0.2051,0.4013,0.3675
Jakalteko-Lithuanian,98300000,11616265100,220200000,3200000,377177649,5200000,0,0,0.3759,0.1521,0,0,0.1622,0.2911,0.5054,0.473
Jakalteko-Wolof,1750000,145299300,145299300,0,0,0,0,0,0.4694,0.182,0,0,0.114,0.2034,0.4929,0.4
Jakalteko-Zulu,10162000,145299300,145299300,0,0,0,0,0,0.4989,0.1517,0,0,0.2518,0.2207,0.4993,0.4084
Jakalteko-Thai-tok,116700000,116700000,116700000,4100000,4100000,4100000,0,0,0.0385,0.1053,0,0,0.2932,0.2093,0.3518,0.4523
Jakalteko-Malayalam,60900000,334050000,227740000,373000,448000,415000,0,0,0.0274,0.117,0,0,0.2996,0.2152,0.7428,0.3292
Jakalteko-Hebrew,172500000,495945000,475664000,4100000,12677000,12388000,0,0,0.0303,0.1121,0,0,0.2147,0.3489,0.4594,0.2394
Jakalteko-Kabyle,0,0,0,0,0,0,0,0,0.4361,0.1881,0,1,0,0.2235,0.196,0.3292
Jakalteko-French,954000000,11616265100,2513780000,8800000,377177649,36284000,0,0,0.4175,0.1494,0,0,0.1347,0.2522,0.4857,0.2984
Jakalteko-Afrikaans,44070000,11616265100,3916959000,67000,377177649,259221917,0,0,0.4334,0.1429,0,0,0.2486,0.2564,0.5278,0.3326
Slovene-Greek,333500000,23232530200,3542920000,11700000,754355298,55700000,1,0,0.0434,0.1844,1,1,0.0017,0.2311,0.1328,0.1
Slovene-Chinantec,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.3229,0.0479,0,1,0.163,0.3794,0.4683,0.361
Slovene-Icelandic,237580000,23232530200,7255879000,7200000,754355298,308421917,1,0,0.5308,0.4442,1,1,0.0163,0.243,0.1392,0.0465
Slovene-Polish,550500000,23232530200,6677840000,10700000,754355298,98400000,1,1,0.6242,0.4745,1,1,0.001,0.3248,0.0973,0
Slovene-Romani,129500000,11616265100,3338920000,5200000,377177649,49200000,1,0,0.6371,0.3747,1,1,0.0009,0.2373,0.2134,0
Slovene-Maori,135919000,12134194500,3856849400,5200000,377177649,49200000,0,0,0.4478,0.3803,0,1,0.3123,0.4324,0.4281,0.5757
Slovene-Cabecar,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.4655,0.2173,0,1,0.1557,0.2269,0.4577,0.1056
Slovene-Mam,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.39,0.1426,0,0,0.1604,0.3082,0.4145,0.1056
Slovene-Latvian,251400000,23232530200,3559120000,7200000,754355298,54400000,1,0,0.6119,0.4823,1,1,0.0038,0.1068,0.225,0.0465
Slovene-Chinese,1399500000,12929534100,4608920000,13500000,385485649,57506000,0,0,0.0435,0.3622,1,1,0.1034,0.3924,0.3148,0.2106
Slovene-Japanese-tok,1539500000,13026265100,4748920000,8400000,380377649,52400000,0,0,0.0357,0.1409,0,1,0.1395,0.3098,0.5189,0.3
Slovene-Albanian,218770000,23232530200,3428190000,8400000,754355298,52400000,1,0,0.585,0.428,1,1,0.0011,0.2151,0.111,0.0871
Slovene-Basque,182230000,11668995100,3391650000,6400000,378377649,50400000,0,0,0.4908,0.3479,0,1,0.0036,0.3506,0.285,0.1056
Slovene-Esperanto,204100000,11690865100,3413520000,5597000,377591649,49597000,0,0,0.6782,0.4785,0,1,0.0019,0.2074,0.1419,0.1419
Slovene-Gujarati,219420000,23232530200,4163820000,5200000,377177649,49200000,1,0,0.0403,0.2917,0,1,0.0602,0.2809,0.2925,0.0513
Slovene-Serbian,197800000,23232530200,6677840000,9200000,754355298,98400000,1,1,0.7914,0.6156,1,1,0.0008,0.1339,0.0123,0
Slovene-Vietnamese,350500000,11867063100,3589718000,9200000,381178274,53200625,0,0,0.3015,0.3945,1,1,0.1275,0.346,0.4515,0.2697
Slovene-German,830500000,23232530200,7255879000,13900000,754355298,308421917,1,0,0.5017,0.4553,0,1,0.0002,0.2074,0.1802,0.1548
Slovene-Telugu,235810000,11950315100,3445230000,5233000,377625649,49233000,0,0,0.0407,0.2652,0,1,0.0819,0.2758,0.4202,0.1567
Slovene-Creole,199591000,11686356100,3409011000,5200000,377177649,49200000,0,0,0.5694,0.4042,1,1,0.1195,0.1497,0.2202,0.0513
Slovene-Quichua,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.4014,0.3463,0,0,0.1653,0.3031,0.3763,0.1056
Slovene-Achuar,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.3201,0.2328,0,1,0.1689,0.3458,0.3853,0.2254
Slovene-Malagasy,137927000,12134194500,3856849400,5555000,384770209,56792560,0,0,0.4454,0.4095,0,1,0.1114,0.281,0.4466,0.1419
Slovene-Camsa,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.3403,0.2784,0,0,0.1603,0.2794,0.422,0.1056
Slovene-Swedish,375500000,23232530200,7255879000,13000000,754355298,308421917,1,0,0.5621,0.4304,1,1,0.0048,0.3049,0.1536,0.0465
Slovene-Aukan,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.4289,0.2683,1,1,0.1131,0.1994,0.3221,0.1
Slovene-Japanese,1539500000,13026265100,4748920000,8400000,380377649,52400000,0,0,0,0.2333,0,1,0.1395,0.3098,0.5189,0.3
Slovene-Spanish,565500000,23232530200,5852700000,10000000,754355298,85484000,1,0,0.5722,0.4647,1,1,0.0043,0.2963,0.1604,0.1
Slovene-Shuar,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.3457,0.2861,0,0,0.1718,0.3528,0.3844,0.4836
Slovene-Dutch,580500000,23232530200,7255879000,13600000,754355298,308421917,1,0,0.5898,0.4554,0,1,0.0019,0.2522,0.2098,0.0465
Slovene-Slovak,286000000,23232530200,6677840000,10400000,754355298,98400000,1,1,0.7134,0.5522,1,1,0.0003,0.1339,0.037,0
Slovene-Amuzgo,129500000,11616265100,3338920000,5200000,377177649,49200000,0,0,0.3534,0.0918,0,1,0.1673,0.3233,0.475,0.2829
Slovene-Swahili,217340000,11761564400,3484219300,5373000,377350649,49373000,0,0,0.477,0.4815,1,1,0.0769,0.2748,0.443,0.2372
Slovene-Chinese-tok,1399500000,12929534100,4608920000,13500000,385485649,57506000,0,0,0.0452,0.3622,1,1,0.1034,0.3924,0.3148,0.2106
Slovene-Danish,306600000,23232530200,7255879000,13100000,754355298,308421917,1,0,0.5542,0.446,1,1,0.0022,0.1737,0.1536,0.0465
Slovene-Amharic,158992000,12112210100,3814584000,5288000,389854649,61588000,0,0,0.041,0.3868,0,1,0.0394,0.2207,0.34,0.1
Slovene-Somali,141325000,12112210100,3350745000,5285000,389854649,49285000,0,0,0.4634,0.406,0,1,0.0566,0.2835,0.35,0.2697
Slovene-Croatian,258400000,23232530200,6677840000,9200000,754355298,98400000,1,1,0.7863,0.6013,1,1,0.0001,0.1193,0.05,0
Slovene-Italian,408500000,23232530200,5852700000,13500000,754355298,85484000,1,0,0.6352,0.478,1,1,0.0003,0.2207,0.15,0
